timestamp,elapsed_sec,stage,m01_temp_c,m02_temp_c,m03_temp_c,m04_temp_c,m05_temp_c,m06_temp_c,m07_temp_c,m08_temp_c,m09_temp_c,m10_temp_c,m11_temp_c,m12_temp_c,m13_temp_c,m14_temp_c,m15_temp_c,m16_temp_c
2026-01-10T11:51:37.516605,2.746,wrist_min_min,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,21.0,22.0,22.0,30.0,30.0,29.0,27.0,28.0
2026-01-10T11:51:43.084116,8.313,wrist_max_min,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,30.0,30.0,29.0,27.0,28.0
2026-01-10T11:51:48.653012,13.882,wrist_min_min,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,30.0,30.0,29.0,27.0,28.0
2026-01-10T11:51:54.220913,19.45,wrist_max_min,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,31.0,30.0,29.0,28.0,28.0
2026-01-10T11:51:59.787821,25.017,wrist_min_min,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,31.0,30.0,30.0,29.0,28.0
2026-01-10T11:52:05.354936,30.584,wrist_max_min,21.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,31.0,30.0,30.0,28.0,28.0
2026-01-10T11:52:10.923641,36.153,wrist_min_min,21.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,31.0,31.0,30.0,28.0,28.0
2026-01-10T11:52:16.491185,41.72,wrist_max_min,21.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,31.0,31.0,30.0,29.0,28.0
2026-01-10T11:52:22.059420,47.289,wrist_min_min,21.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,31.0,31.0,30.0,28.0,29.0
2026-01-10T11:52:27.642363,52.872,wrist_max_min,21.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,31.0,31.0,30.0,29.0,28.0
2026-01-10T11:52:33.210305,58.439,wrist_min_min,21.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,31.0,31.0,30.0,29.0,29.0
2026-01-10T11:52:38.778065,64.007,wrist_max_min,21.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,31.0,31.0,30.0,29.0,28.0
2026-01-10T11:52:44.346116,69.575,wrist_min_min,21.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,31.0,31.0,30.0,29.0,28.0
2026-01-10T11:52:49.913042,75.142,wrist_max_min,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,31.0,31.0,30.0,29.0,29.0
2026-01-10T11:52:55.480911,80.71,wrist_min_min,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,31.0,31.0,30.0,28.0,29.0
2026-01-10T11:53:01.047659,86.277,wrist_max_min,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,31.0,31.0,30.0,29.0,29.0
2026-01-10T11:53:06.616765,91.846,wrist_min_min,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,31.0,31.0,31.0,29.0,29.0
2026-01-10T11:53:12.184089,97.413,wrist_max_min,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,31.0,31.0,31.0,29.0,28.0
2026-01-10T11:53:17.751620,102.981,wrist_min_min,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,32.0,31.0,31.0,29.0,29.0
2026-01-10T11:53:23.319478,108.549,wrist_max_min,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,32.0,31.0,31.0,29.0,29.0
2026-01-10T11:53:28.885616,114.115,wrist_min_min,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,32.0,31.0,31.0,29.0,29.0
2026-01-10T11:53:34.455188,119.684,wrist_max_min,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,32.0,31.0,31.0,29.0,29.0
