timestamp,elapsed_sec,stage,chunk_index,m01_temp_c,m02_temp_c,m03_temp_c,m04_temp_c,m05_temp_c,m06_temp_c,m07_temp_c,m08_temp_c,m09_temp_c,m10_temp_c,m11_temp_c,m12_temp_c,m13_temp_c,m14_temp_c,m15_temp_c,m16_temp_c
2026-01-10T14:51:53.900103,9064.935,wrist_min_max,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T14:52:56.524078,9127.559,wrist_min_min,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T14:53:56.656435,9187.691,wrist_max_min,5,29.0,28.0,27.0,28.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T14:54:56.924662,9247.96,wrist_min_min,5,29.0,28.0,27.0,29.0,28.0,27.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,43.0
2026-01-10T14:55:59.624103,9310.659,wrist_max_max,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,43.0
2026-01-10T14:57:02.067027,9373.102,wrist_max_min,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T14:58:04.499220,9435.534,wrist_min_max,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T14:59:07.103433,9498.138,wrist_min_min,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:00:07.372567,9558.408,wrist_max_min,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T15:01:07.673372,9618.708,wrist_min_min,5,29.0,28.0,27.0,29.0,28.0,27.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,44.0,44.0
2026-01-10T15:02:07.909747,9678.945,wrist_max_min,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T15:03:08.010089,9739.045,wrist_min_min,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T15:04:10.092281,9801.127,wrist_max_max,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:05:10.236091,9861.271,wrist_min_max,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,43.0
2026-01-10T15:06:10.456103,9921.491,wrist_max_max,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:07:10.757102,9981.792,wrist_min_max,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,43.0
2026-01-10T15:08:11.057690,10042.093,wrist_max_max,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,43.0
2026-01-10T15:09:11.342303,10102.377,wrist_min_max,5,29.0,28.0,27.0,29.0,28.0,27.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T15:10:11.657924,10162.693,wrist_max_max,5,29.0,28.0,27.0,29.0,28.0,27.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T15:11:11.910829,10222.946,wrist_min_max,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:12:14.531505,10285.567,wrist_min_min,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:13:14.847396,10345.882,wrist_max_min,5,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,44.0
